model,cer,wer,domain_f1,elapsed_seconds,pdfs_processed
tesseract,0.7989922061943834,5.139746917907479,0.01682692307692308,395.575164793001,4
easyocr,0.5464930986035267,2.94468257763113,0.028846153846153848,1490.388956262992,4
doctr,0.5397027520259636,2.6866992505310967,0.02403846153846154,347.21978054600186,4
unstructured,0.5297862625690212,3.143325436075506,0.026442307692307696,356.58512658600375,4
chandra,,,,62.012182746999315,
paddleocr,0.5756873020265683,2.585772359134168,0.026442307692307696,3008.6097777130126,4
